source,rel,target
root,contains,d1
root,contains,d2
root,contains,d3
root,contains,d4
root,contains,d5
root,contains,d6
root,contains,d7
root,contains,d8
d1,has,maint
d1,has,passage
d1,has,feeder
d1,has,diff
d1,has,signal
d1,has,suspension
d1,has,reprog
d1,has,qccrit
d2,has,bf
d2,has,conf
d2,has,morphcls
d2,has,diffdet
d2,has,growth
d2,has,dlmodel
d3,has,dualarm
d3,has,closeddev
d3,has,dispense
d3,has,transport
d3,has,motioncap
d4,has,sched
d4,has,loop
d4,has,bbo
d4,has,doe
d4,has,sdl
d4,has,rl
d5,has,sila
d5,has,opcua
d5,has,mtp
d5,has,orch
d5,has,gateway
d5,has,lims
d5,has,datamodel
d6,has,gctp
d6,has,ramlaw
d6,has,alcoa
d6,has,csv
d6,has,part11
d6,has,ebr
d6,has,audit
d6,has,capa
d7,has,envmon
d7,has,sterility
d7,has,cpv
d7,has,edge
d8,has,cira
d8,has,terumo
d8,has,pana
d8,has,kaneka
d8,has,rbi
d8,has,epistra
d8,has,moldev
d8,has,astellas
growth,triggers,passage
conf,feeds,sched
conf,feeds,loop
diffdet,evaluates,qccrit
morphcls,evaluates,qccrit
dlmodel,powers,conf
dlmodel,powers,morphcls
dlmodel,powers,diffdet
bf,input_to,dlmodel
loop,commands,dispense
loop,commands,transport
sched,drives,loop
bbo,optimizes,signal
bbo,optimizes,diff
doe,formulates,bbo
sdl,uses,bbo
sdl,extends,loop
rl,advances,sdl
passage,part_of,maint
signal,controls,diff
feeder,enables,maint
suspension,scales,reprog
reprog,precedes,maint
motioncap,reproduces,passage
dualarm,executes,diff
closeddev,executes,maint
dispense,executes,maint
sila,integrates,closeddev
sila,integrates,dualarm
sila,integrates,edge
opcua,integrates,closeddev
gateway,bridges_to,sila
orch,hosts,sched
orch,consumes,sila
datamodel,feeds,lims
lims,produces,ebr
edge,carries,envmon
envmon,monitors,maint
envmon,state_for,loop
sterility,guards,closeddev
cpv,verifies,qccrit
gctp,governs,cira
ramlaw,governs,closeddev
alcoa,constrains,ebr
alcoa,constrains,audit
alcoa,constrains,datamodel
csv,validates,lims
csv,validates,loop
part11,requires,ebr
part11,requires,audit
capa,responds_to,sterility
gctp,defines,qccrit
cira,uses,closeddev
cira,partners,terumo
cira,pursues,reprog
cira,pursues,maint
terumo,provides,closeddev
pana,builds,closeddev
pana,automates,reprog
kaneka,demonstrates,suspension
rbi,provides,dualarm
epistra,provides,bbo
moldev,implements,conf
moldev,implements,diffdet
moldev,implements,loop
astellas,uses,dualarm
src_kanda,defines,bbo
src_kanda,defines,sdl
src_kanda,demonstrates,diff
src_riken2020,demonstrates,growth
src_riken2020,demonstrates,loop
src_sila,specifies,sila
src_sila,informs,orch
src_gctp,specifies,gctp
src_cgt,explains,alcoa
src_cgt,explains,csv
src_cxa,illustrates,conf
