source_url,source_title,referenced_by_nodes
https://aberinstruments.com/application/optimized-perfusion-by-capacitance-process-measurement-control/,Aber FUTURA — optimized perfusion by capacitance,
https://health.ec.europa.eu/document/download/2c252435-6383-4ced-8206-8fef57024cc1_en,EudraLex Volume 4 Annex 11 — Computerised Systems,ebr_derivation;src_annex11
https://ax.dev/,Ax Adaptive Experimentation Platform,
https://pmc.ncbi.nlm.nih.gov/articles/PMC7805206/,"Borys et al. 2021, Stem Cell Res Ther 12:55（PMC7805206）",add_aggimg_aggregate_imaging_survey;add_aggimg_aggregate_size_pluripotency;add_aggimg_src_borys_2021;src_borys
https://botorch.org/,BoTorch: Bayesian Optimization in PyTorch,
https://www.cellandgene.com/topic/cell-gene-therapy-qa-qc,"Cell & Gene Therapy QC/QA（ALCOA, Part 11, CAPA）",alcoa;audit;audit_ui;capa;contamination_response;cpv;csv;ctrl_split;d6;ebr;lims;part11;src_cgt
https://opencobra.github.io/cobrapy/,COBRApy — COnstraints-Based Reconstruction and Analysis for Python,
https://www.moleculardevices.com/en/assets/app-note/dd/img/deep-learning-based-image-analysis-for-label-free-live-monitoring-of-ipsc-and-3d-organoid-cultures,Deep learning for label-free monitoring of iPSC & organoids,bf;conf;d2;diffdet;dlmodel;moldev;src_cxa
https://www.mt.com/my/en/home/products/L1_AutochemProducts/particle-size-analyzers/particletrack-fbrm.html,Mettler Toledo ParticleTrack with FBRM,add_aggimg_fbrm_cld_detail;add_aggimg_src_fbrm_g400
https://www.fda.gov/regulatory-information/search-fda-guidance-documents/computer-software-assurance-production-and-quality-system-software,FDA Guidance: Computer Software Assurance for Production and Quality System Software,src_fda_csa
https://www.fda.gov/regulatory-information/search-fda-guidance-documents/data-integrity-and-compliance-drug-cgmp-questions-and-answers,FDA Guidance for Industry: Data Integrity and Compliance With Drug CGMP Questions and Answers (2018),src_fda_data_integrity;tech_control
https://www.fluidimaging.com/blog/what-is-the-flowcam,FlowCam — What is FlowCam?,add_aggimg_flowcam_atline;add_aggimg_src_flowcam
https://pubmed.ncbi.nlm.nih.gov/31890771/,PubMed 31890771,src_galv
https://ispe.org/publications/guidance-documents/gamp-5-guide-2nd-edition,ISPE GAMP 5 Guide 2nd Edition (2022),src_gamp5
https://ispe.org/publications/guidance-documents/gamp-guide-artificial-intelligence,ISPE GAMP Guide: Artificial Intelligence (2025),gamp_ai_lifecycle;llm_validation;src_gamp5_ai
https://www.pmda.go.jp/review-services/gmp-qms-gctp/gctp/0002.html,GCTP適合性調査（PMDA）,d6;gctp;src_gctp
https://www.hamiltoncompany.com/sensors/cell-density-sensors/incyte,Hamilton Incyte Arc Viable Cell Density Sensor,
https://www.iso.org/standard/63179.html,IEC 62366-1 Medical devices — Application of usability engineering,hmi_dashboard;src_iec62366
https://www.isa.org/standards-and-publications/isa-standards/isa-101,ISA-101 HMI Design Standards,alert_matrix;hmi_dashboard;src_isa101
https://github.com/labauto/LabDroid_optimizer,LabDroid_optimizer（GitHub / GPyOpt）,bbo;src_kanda
https://doi.org/10.1016/j.copbio.2023.102979,"Krause et al. 2023, Curr Opin Biotechnol — biocapacitance online biomass",
https://pmc.ncbi.nlm.nih.gov/articles/PMC4685349/,"Kropp et al. 2015, BMC Proceedings（PMC4685349）",src_kropp
https://reference.opcfoundation.org/specs/OPC-30500-1/4.1,OPC UA for Laboratory & Analytical Device Standard (LADS) Part 1: Basics (OPC 30500-1),src_lads
https://pmc.ncbi.nlm.nih.gov/articles/PMC8666714/,"Manstein et al. 2021, STAR Protocols 2(4):100988 — in silico model Table 1（PMC8666714）",mpc_constraints;mpc_ipsc_perfusion;src_manstein
https://docs.oasis-open.org/mqtt/mqtt/v5.0/mqtt-v5.0.html,MQTT Version 5.0 | OASIS Standard,
https://www.emqx.com/en/blog/mqtt5-request-response,MQTT Request / Response Explained and Example (MQTT 5.0),
https://www.nist.gov/itl/ai-risk-management-framework,NIST AI Risk Management Framework,approval_workflow;src_nist_ai_rmf
https://www.novabiomedical.com/cell-culture-analyzers/bioprofile-flex2-basic/,Nova Biomedical BioProfile FLEX2 (16-parameter at-line analyzer),cpv
https://www.bioprocessonline.com/doc/ovizio-imaging-systems-is-entering-into-a-commercial-partnership-with-merck-to-promote-its-iline-f-pro-solution-for-the-cell-gene-therapy-market-0001,Ovizio iLINE-F PRO (BioProcess Online),add_aggimg_dhm_ovizio;add_aggimg_src_ovizio_ilinef
https://www.ecfr.gov/current/title-21/chapter-I/subchapter-A/part-11,21 CFR Part 11 — Electronic Records; Electronic Signatures,approval_log;audit_schema;esignature;src_part11
https://picscheme.org/en/publications,PIC/S PI 041-1 — Good Practices for Data Management and Integrity in Regulated GMP/GDP Environments (2021),src_pics041
https://doi.org/10.3389/fbioe.2022.719614,"Graf/Wei et al. 2022, Front Bioeng — in-line Raman closed-loop glucose (PID)",
https://www.riken.jp/press/2020/20201204_1/index.html,ヒューマノイドロボットとAIによる自律細胞培養（理研 2020）,d4;dualarm;growth;loop;sched;src_riken2020;sterility;transport
https://shop.sartorius.com.cn/us/p/biopatviamass/BioPAT_Viamass,Sartorius BioPAT ViaMass,
https://scipy.org/,SciPy — Fundamental algorithms for scientific computing in Python,
https://sila-standard.com/faq/,SiLA 2 FAQ（HTTP/2 + Protocol Buffers）,d5;mtp;sila;src_sila
https://www.nuget.org/packages/SiLA2.Communication,SiLA2.Communication — Runtime Dynamic Protobuf Generation for SiLA2 Features,
https://stemcells.or.jp/ips-9/,"iPS樹立から大量培養まで一貫（CiRA財団共著, eLife）",kaneka;src_susp;suspension
https://pmc.ncbi.nlm.nih.gov/articles/PMC3460618/,"Olmer et al. 2012, Tissue Eng Part C（PMC3460618）",src_traj
